offerPrice,address,pageUrl,text,brand,imageUrl,features,pixels
$785.60,"34239 Maybird Cir, Fremont, CA 94555",https://www.realtor.com/realestateandhomes-detail/34239-Maybird-Cir_Fremont_CA_94555_M19530-21488,"Property Overview - Corner Lot Across From Award Winning Forest Park Elementary.One Full Bedroom and Bathroom Downstairs! New Custom Paint, Custom Window Coverings, Vaulted Ceilings. Cozy Double Fireplace. Large Master Suite With WalkInCloset, Double Sinks, Oval Tub & Separate Shower. Dual Pane Windows.
This property overview is from the previous listing when the home was listed for sale in Feb 2, 2009.",,https://p.rdcpix.com/v01/l74c6f341-m0xd-w1020_h770_q80.jpg,,"[[[255 254 245]
  [253 250 241]
  [235 235 227]
  ...
  [ 41  72 126]
  [ 45  76 130]
  [ 50  81 135]]

 [[218 215 206]
  [255 255 246]
  [255 255 248]
  ...
  [ 41  72 126]
  [ 45  76 130]
  [ 50  81 135]]

 [[255 255 246]
  [255 255 246]
  [254 254 246]
  ...
  [ 41  72 126]
  [ 45  76 130]
  [ 50  81 135]]

 ...

 [[ 56  44  44]
  [ 56  44  44]
  [ 56  44  44]
  ...
  [ 75  72  65]
  [ 76  73  66]
  [ 85  82  75]]

 [[ 68  56  56]
  [ 68  56  56]
  [ 68  56  56]
  ...
  [ 71  68  61]
  [ 72  69  62]
  [ 81  78  71]]

 [[ 61  49  49]
  [ 61  49  49]
  [ 61  49  49]
  ...
  [101  98  91]
  [103 100  93]
  [112 109 102]]]"
$785.60,"34239 Maybird Cir, Fremont, CA 94555",https://www.realtor.com/realestateandhomes-detail/34239-Maybird-Cir_Fremont_CA_94555_M19530-21488,"Property Overview - Corner Lot Across From Award Winning Forest Park Elementary.One Full Bedroom and Bathroom Downstairs! New Custom Paint, Custom Window Coverings, Vaulted Ceilings. Cozy Double Fireplace. Large Master Suite With WalkInCloset, Double Sinks, Oval Tub & Separate Shower. Dual Pane Windows.
This property overview is from the previous listing when the home was listed for sale in Feb 2, 2009.",,https://p.rdcpix.com/v01/l74c6f341-m1xd-w1020_h770_q80.jpg,,"[[[232 255 236]
  [229 251 239]
  [248 255 255]
  ...
  [ 76  85  66]
  [ 67  80  62]
  [152 171 152]]

 [[245 255 255]
  [225 237 235]
  [245 255 247]
  ...
  [ 87  91  74]
  [ 74  85  68]
  [154 168 151]]

 [[255 247 255]
  [255 254 255]
  [248 253 233]
  ...
  [ 79  80  66]
  [ 69  73  59]
  [132 143 129]]

 ...

 [[102  89  80]
  [113 100  91]
  [102  89  80]
  ...
  [ 75  24  23]
  [ 79  25  25]
  [ 79  25  25]]

 [[100  87  78]
  [114 101  92]
  [105  92  83]
  ...
  [ 81  23  22]
  [ 84  26  25]
  [ 84  26  25]]

 [[ 99  86  77]
  [115 102  93]
  [109  96  87]
  ...
  [ 84  24  24]
  [ 89  29  29]
  [ 92  30  31]]]"
"$1,048,000","34226 Petard Ter, Fremont, CA, 94555",https://www.realtor.com/realestateandhomes-detail/34226-Petard-Ter_Fremont_CA_94555_M17607-29225,"Learn more about 34226 Petard Ter
Ask a question
I am interested in 34226 Petard Ter.
Get pre-approved by a lender.
By proceeding, you consent to receive calls and texts at the number you provided, including marketing by autodialer and prerecorded and artificial voice, and email, from realtor.com and others about your inquiry and other home-related matters, but not as a condition of any purchase; this applies regardless of whether you check, or leave un-checked, any box above.",,https://ap.rdcpix.com/f48ac00cc2a48854c4db90d376ccd7e3l-m2347610566od-w640_h480.jpg,,"[[[255 255 253]
  [244 244 242]
  [255 255 253]
  ...
  [  3 139 249]
  [  3 139 249]
  [  4 140 250]]

 [[239 239 237]
  [255 255 253]
  [245 245 243]
  ...
  [  3 139 249]
  [  3 139 249]
  [  4 140 250]]

 [[255 255 253]
  [254 254 252]
  [230 230 228]
  ...
  [  3 139 249]
  [  3 139 249]
  [  4 140 250]]

 ...

 [[134 123 121]
  [135 124 122]
  [135 124 122]
  ...
  [143 126 145]
  [144 127 146]
  [144 127 146]]

 [[136 125 123]
  [132 120 120]
  [133 121 121]
  ...
  [144 127 146]
  [141 124 143]
  [138 121 140]]

 [[136 124 124]
  [132 120 120]
  [133 121 121]
  ...
  [142 125 144]
  [139 122 141]
  [136 119 138]]]"
"$1,450,000","5307 Cowboy Ct, Fremont, CA, 94555",https://www.realtor.com/realestateandhomes-detail/5307-Cowboy-Ct_Fremont_CA_94555_M10825-37096,"Learn more about 5307 Cowboy Ct
Ask a question
I am interested in 5307 Cowboy Ct.
Get pre-approved by a lender.
By proceeding, you consent to receive calls and texts at the number you provided, including marketing by autodialer and prerecorded and artificial voice, and email, from realtor.com and others about your inquiry and other home-related matters, but not as a condition of any purchase; this applies regardless of whether you check, or leave un-checked, any box above.",,https://ap.rdcpix.com/5d95ac25e6f851d118484ad9aad4ada4l-m696348009od-w640_h480.jpg,,"[[[255 255 253]
  [244 244 242]
  [255 255 253]
  ...
  [223 225 248]
  [223 225 248]
  [223 225 248]]

 [[239 239 237]
  [255 255 253]
  [246 246 244]
  ...
  [223 225 248]
  [223 225 248]
  [223 225 248]]

 [[255 255 253]
  [255 255 253]
  [231 231 229]
  ...
  [223 225 248]
  [223 225 248]
  [223 225 248]]

 ...

 [[134 133 113]
  [115 114  94]
  [130 129 109]
  ...
  [222 220 223]
  [230 234 243]
  [217 229 241]]

 [[115 112  97]
  [116 112 100]
  [140 136 124]
  ...
  [227 233 247]
  [215 230 251]
  [210 229 255]]

 [[141 137 126]
  [147 140 130]
  [ 76  69  59]
  ...
  [205 213 236]
  [191 208 238]
  [194 218 255]]]"
"$1,589,000","3338 Sanderling Dr, Fremont, CA, 94555",https://www.realtor.com/realestateandhomes-detail/3338-Sanderling-Dr_Fremont_CA_94555_M15681-76100,"Learn more about 3338 Sanderling Dr
Ask a question
I am interested in 3338 Sanderling Dr.
Get pre-approved by a lender.
By proceeding, you consent to receive calls and texts at the number you provided, including marketing by autodialer and prerecorded and artificial voice, and email, from realtor.com and others about your inquiry and other home-related matters, but not as a condition of any purchase; this applies regardless of whether you check, or leave un-checked, any box above.",,https://ap.rdcpix.com/172ca358d29d2ac52f4cf58911a36422l-m4168347170od-w640_h480.jpg,,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [130 177 249]
  [131 178 250]
  [132 179 251]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [128 175 247]
  [129 176 248]
  [130 177 249]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [125 173 245]
  [126 174 246]
  [127 175 247]]

 ...

 [[157 155 142]
  [155 153 140]
  [155 153 140]
  ...
  [134 124 114]
  [117 107  97]
  [109  99  89]]

 [[167 165 152]
  [163 161 148]
  [159 157 144]
  ...
  [118 108  98]
  [ 63  53  43]
  [ 91  81  72]]

 [[169 167 154]
  [165 163 150]
  [161 159 146]
  ...
  [137 129 118]
  [ 60  50  40]
  [ 85  75  66]]]"
"$1,400,000","34340 Platinum Ter, Fremont, CA, 94555",https://www.realtor.com/realestateandhomes-detail/34340-Platinum-Ter_Fremont_CA_94555_M19986-35002,"Learn more about 34340 Platinum Ter
Ask a question
I am interested in 34340 Platinum Ter.
Get pre-approved by a lender.
By proceeding, you consent to receive calls and texts at the number you provided, including marketing by autodialer and prerecorded and artificial voice, and email, from realtor.com and others about your inquiry and other home-related matters, but not as a condition of any purchase; this applies regardless of whether you check, or leave un-checked, any box above.",,https://ap.rdcpix.com/590248936edd5d6cdf3adbc3eb0a8d7al-m2464043050od-w640_h480.jpg,,"[[[246 255 234]
  [247 255 235]
  [241 255 229]
  ...
  [102 149 227]
  [102 149 227]
  [102 149 227]]

 [[238 243 247]
  [251 255 255]
  [250 255 255]
  ...
  [102 149 227]
  [102 149 227]
  [102 149 227]]

 [[255 251 255]
  [245 241 255]
  [238 234 255]
  ...
  [102 149 227]
  [102 149 227]
  [102 149 227]]

 ...

 [[ 52  60  45]
  [ 32  43  27]
  [ 50  64  47]
  ...
  [ 51  66  43]
  [ 57  70  50]
  [ 38  51  33]]

 [[ 82  90  75]
  [ 35  46  30]
  [ 37  51  34]
  ...
  [ 26  41  18]
  [ 25  38  18]
  [ 50  63  45]]

 [[100 108  93]
  [ 49  60  44]
  [ 47  64  46]
  ...
  [ 37  52  29]
  [ 22  35  15]
  [ 96 109  91]]]"
"$1,758,800","41655 Chiltern Dr, Fremont, CA, 94539",https://www.realtor.com/realestateandhomes-detail/41655-Chiltern-Dr_Fremont_CA_94539_M17454-24295,"Learn more about 41655 Chiltern Dr
Ask a question
I am interested in 41655 Chiltern Dr.
I have served in the U.S. Military.
Get pre-approved by a lender.
By proceeding, you consent to receive calls and texts at the number you provided, including marketing by autodialer and prerecorded and artificial voice, and email, from realtor.com and others about your inquiry and other home-related matters, but not as a condition of any purchase; this applies regardless of whether you check, or leave un-checked, any box above.",,https://ap.rdcpix.com/eb4f2e07f729741075636921fe7be374l-m3732048184od-w640_h480.jpg,,"[[[254 252 253]
  [250 248 249]
  [255 254 255]
  ...
  [ 65  75  84]
  [100 112 124]
  [ 77  91 104]]

 [[246 246 246]
  [255 255 255]
  [238 238 238]
  ...
  [120 129 136]
  [138 148 160]
  [156 168 182]]

 [[255 255 255]
  [255 255 255]
  [231 231 231]
  ...
  [139 143 152]
  [146 152 164]
  [162 170 183]]

 ...

 [[126 113 105]
  [134 121 113]
  [132 119 111]
  ...
  [131 128  61]
  [ 91  88  21]
  [109 106  39]]

 [[122 109 101]
  [137 124 116]
  [131 118 110]
  ...
  [122 119  52]
  [ 93  90  23]
  [ 93  90  23]]

 [[123 110 102]
  [138 125 117]
  [134 121 115]
  ...
  [113 109  45]
  [ 94  90  26]
  [100  96  32]]]"
"$4,394","34520 Willbridge Ter, Fremont, CA, 94555",https://www.realtor.com/realestateandhomes-detail/34520-Willbridge-Ter_Fremont_CA_94555_M20064-23584,"Learn more about 34520 Willbridge Ter
Ask a question
I am interested in 34520 Willbridge Ter.
Get pre-approved by a lender.
By proceeding, you consent to receive calls and texts at the number you provided, including marketing by autodialer and prerecorded and artificial voice, and email, from realtor.com and others about your inquiry and other home-related matters, but not as a condition of any purchase; this applies regardless of whether you check, or leave un-checked, any box above.",,https://ap.rdcpix.com/33cb3ce1fda944eb6660f3416960875cl-m3874086572od-w640_h480.jpg,,"[[[ 83 129  83]
  [ 68 112  87]
  [ 80 127 133]
  ...
  [ 62  67  45]
  [ 74  77  48]
  [110 111  79]]

 [[ 87 128  96]
  [ 77 119 107]
  [ 95 138 155]
  ...
  [ 63  67  42]
  [ 85  86  55]
  [141 141 107]]

 [[ 82 120 109]
  [ 83 122 129]
  [112 152 188]
  ...
  [137 138 106]
  [136 133  98]
  [151 147 110]]

 ...

 [[111 111 111]
  [111 111 111]
  [110 110 110]
  ...
  [102 102 100]
  [104 104 102]
  [106 106 104]]

 [[110 110 110]
  [110 110 110]
  [109 109 109]
  ...
  [100 100  98]
  [101 101  99]
  [102 102 100]]

 [[109 109 109]
  [108 108 108]
  [108 108 108]
  ...
  [ 97  97  95]
  [ 97  97  95]
  [ 98  98  96]]]"
"$4,424","37072 Shasta St, Fremont, CA, 94536",https://www.realtor.com/realestateandhomes-detail/37072-Shasta-St_Fremont_CA_94536_M18735-55978,"Learn more about 37072 Shasta St
Ask a question
I am interested in 37072 Shasta St.
I have served in the U.S. Military.
Get pre-approved by a lender.
By proceeding, you consent to receive calls and texts at the number you provided, including marketing by autodialer and prerecorded and artificial voice, and email, from realtor.com and others about your inquiry and other home-related matters, but not as a condition of any purchase; this applies regardless of whether you check, or leave un-checked, any box above.",,https://ap.rdcpix.com/ca7d01db0a5f2d7901cc3cec03e733d9l-m733985572od-w640_h480.jpg,,"[[[ 54  56  35]
  [ 29  30  12]
  [ 55  58  41]
  ...
  [ 86 172 245]
  [ 86 172 245]
  [ 86 172 245]]

 [[ 30  32  11]
  [ 12  15   0]
  [ 43  47  30]
  ...
  [ 88 174 247]
  [ 88 174 247]
  [ 88 174 247]]

 [[ 13  16   0]
  [  3   6   0]
  [ 30  34  17]
  ...
  [ 90 176 249]
  [ 90 176 249]
  [ 90 176 249]]

 ...

 [[127 128 114]
  [142 143 129]
  [144 145 131]
  ...
  [192 197 177]
  [190 195 175]
  [189 194 174]]

 [[129 131 110]
  [138 140 119]
  [127 130 111]
  ...
  [191 196 176]
  [191 196 176]
  [192 197 177]]

 [[133 137 114]
  [134 138 115]
  [115 119  96]
  ...
  [188 193 173]
  [189 194 174]
  [192 197 177]]]"
"$1,394,999","3757 Savannah Rd, Fremont, CA 94538",https://www.realtor.com/realestateandhomes-detail/3757-Savannah-Rd_Fremont_CA_94538_M25113-51211,"This easy to show home checks all the boxes! Open and bright single story layout with vaulted ceilings. Tastefully updated home with modern features. One of the larger lots, which includes a 4 BDR 3 BTH. Homes layout includes 2 Master Bedroom suites with each room with its own private bath. Recently paved yard, with new fencing all around for privacy. Excellent access to many nearby amenities including accessibility to both 680/880, BART within 2 miles, shopping and entertainment at Pacific Commons, and most importantly within close proximity to top rated schools: Grimmer Elem. (8/10), Horner Jr. High (8/10) and Irvington High (9/10).",,https://ap.rdcpix.com/317766158d530beef5f2d9841faf438el-m2083789703xd-w300_h300_q80.jpg,,"[[[251 255 244]
  [248 255 243]
  [249 255 250]
  ...
  [241 245 248]
  [241 245 248]
  [241 245 248]]

 [[213 217 203]
  [206 209 198]
  [210 216 206]
  ...
  [241 245 248]
  [241 245 248]
  [241 245 248]]

 [[194 190 178]
  [187 183 172]
  [193 190 181]
  ...
  [241 245 248]
  [241 245 248]
  [241 245 248]]

 ...

 [[ 47  35  11]
  [ 25  13   0]
  [ 50  37  21]
  ...
  [223 194 186]
  [221 192 184]
  [220 191 185]]

 [[ 33  25   4]
  [ 43  35  16]
  [ 60  50  38]
  ...
  [212 184 173]
  [212 182 174]
  [212 182 174]]

 [[113 108  88]
  [ 41  35  19]
  [ 38  32  20]
  ...
  [207 177 167]
  [206 176 166]
  [207 177 167]]]"
